THREADS,CHUNKS,TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,5462,5478,5485,5502,5478,5503,5497,5486,5502,5515,5508,5476,5488,5497,5495,5505,5497,5479,5494,5501,5507,5501,5498,5500,5488,5508,5489,5485,5502,5482,5486,5494,5486,5477,5468,5500,5482,5503,5497,5489,5478,5459,5437,5464,5469,5439,5458,5479,5464,5481,5486.36
2,1000,3188,3213,3197,3223,3214,3223,3213,3197,3225,3213,3199,3222,3215,3215,3193,3217,3206,3207,3206,3235,3228,3194,3209,3195,3192,3219,3216,3215,3211,3208,3216,3195,3204,3214,3206,3209,3196,3210,3203,3195,3229,3185,3212,3196,3201,3197,3221,3189,3218,3183,3207.74
4,1000,1930,1936,1935,1934,1943,1949,1949,1955,1950,1960,1934,1957,1953,1943,1947,1949,1936,1941,1932,1934,1943,1946,1951,1946,1940,1953,1941,1949,1949,1939,1942,1943,1948,1937,1937,1941,1943,1941,1942,1949,1933,1928,1962,1928,1938,1939,1940,1946,1954,1940,1943.1
8,1000,1292,1289,1292,1284,1290,1291,1295,1286,1298,1292,1280,1277,1280,1285,1285,1280,1300,1296,1281,1281,1281,1286,1287,1274,1288,1287,1279,1280,1286,1283,1286,1290,1275,1302,1287,1295,1299,1288,1294,1284,1305,1306,1292,1295,1286,1299,1297,1297,1295,1299,1289.12
16,1000,832,827,810,818,837,828,812,836,806,815,815,824,839,843,816,819,830,812,821,802,803,823,827,822,801,831,813,810,821,816,818,808,827,805,827,823,809,820,827,816,810,816,817,824,812,831,831,818,833,821,820.04
32,1000,687,698,672,687,694,678,699,680,677,677,689,683,685,686,670,680,683,697,709,683,696,709,683,691,691,687,705,686,695,694,692,684,679,688,682,690,675,682,697,694,671,684,680,671,678,689,693,696,664,681,686.42
64,1000,673,680,684,710,684,705,691,685,673,670,693,705,670,701,698,687,684,693,702,692,685,670,691,694,695,690,676,698,685,697,675,692,699,688,675,691,690,689,689,695,689,702,685,686,679,679,689,694,675,696,688.36
128,1000,675,688,678,699,695,708,694,707,700,685,678,693,709,679,684,678,687,695,686,714,687,680,672,686,693,700,716,707,683,725,700,686,700,701,687,698,685,680,683,722,694,696,708,686,704,680,679,706,676,687,692.78
256,1000,699,707,694,698,687,677,701,720,708,711,688,680,725,694,673,697,693,693,689,684,703,684,689,704,677,683,703,693,696,693,685,693,687,679,700,691,689,682,694,705,694,694,694,713,686,692,717,700,692,734,695.28
512,1000,695,707,707,714,726,700,705,696,720,702,693,707,722,694,700,704,687,714,722,710,710,700,713,703,708,710,707,715,708,701,703,738,690,714,695,715,699,710,697,710,706,703,701,726,707,692,701,706,698,695,706.12
1024,1000,924,923,923,923,916,925,914,916,913,923,902,919,916,914,918,983,924,938,940,920,932,928,925,918,916,920,918,923,935,931,941,945,931,914,904,927,916,900,931,929,917,909,943,927,920,935,901,927,914,908,923.18
